Name,Location,Description,Date,Start Time,End Time
Sourdough bread baking,Kitchen,"Meet the Cousin from Ipswich, pika's ancestral community of wild yeast strains. The bread should be out of the oven around 5:30pm, so stay for dinner!",8/30,12:00,13:00
Pickles,Kitchen,Pickles come in many flavors. Choose your own adventure. Many vegetables and vinegars offered.,8/30,13:00,0:00
"pika's Glorious Cake Baking, Sculpture, Decorating ",Kitchen,"We'll bake a cake or two, then use our minds and baking supplies to be creative and fool passerby by decorating it to look like our chicken Dread Pirate Roberts.",8/30,14:00,16:00
Fermentation!,Dining room,Natural sodas from berries and root vegetables. Kombucha and kefir from our SCOBIs. Health for the intestinal tract.,8/30,15:00,16:00
High-altitude bean trading,Back porch,This card game is too silly to be played at ground level.  Meet in the round bean trading tent at 69 Chestnut street.,8/30,18:00,19:00
Feast at our Table and Sleep in our Clover,Dining room / Back yard,"Comforting vegan dinner, backyard napping, and John Denver singalongs.",8/30,19:00,20:00
Shoeblade and Forkapple,Murph,The noble sports of pikans of yore.,8/30,20:00,21:00
Poker night!,Murph,Is your poker face good enough?,8/30,21:00,23:00
Peaceable sailing in the Charles,Depart from pika / MIT Sailing Pavilion,"Leave from pika at 12pm, or meet pikans at the MIT Sailing Pavilion (across from Walker Memorial E50) at 12:30pm. Set sail in the sparkling and pure waters of the Charles. (This event is free!) Must be able to swim.",8/31,12:00,15:00
Summer Camp Games,Front yard garden,"Ha, Yes Let's!, Screaming and Running, Farkle Barkle, SPUD, Wah!, Ninja, and many other silly camp games, taught by a real camp counselor. Where's your buddy?!",8/31,15:00,17:00
Improv Theater Workshop,Dining room,Bring your creativity.,8/31,17:00,19:00
Cafe Lebanon Feast,Dining room,"Foods of the levant: falafel, salata, tahini, tabbouleh, and maybe baklava :)",8/31,19:00,20:00
Sit around and make puns,Murph,"Hopefully, this won't be a cat-astrophe.",8/31,20:00,21:00
23.001: Intro to Hippie Stereotypes,Murph,We hear some people think we are hippies. Come decide for yourself.,8/31,20:00,21:00
Anime Under The Stars,Back porch,I hear the youth of today like those newfangled Japanese animated movies. Perhaps you do too?,8/31,21:00,23:00
Garden!,Front yard garden,"
Now you can make your bed and eat it, too. Come tuck some fall plants under the sheets. Whisper good night to garlic, shallots, and other beauties.",9/1,12:00,14:00
Textile Experimentation,Dining room / Back porch,"Knitting, crocheting, embroidery, oh my! Express yourself with string. We will be screen printing too - bring your own article of clothing if you want to screen print!",9/1,14:00,15:00
Firestaff making,Back porch,"Patience you must have, my young Padawan.",9/1,15:00,19:00
Spoon carving,Back porch,Carve a wooden spoon.,9/1,17:00,19:00
Chinese Stir Fry Feast,Dining room,Dinner!,9/1,19:00,20:00
Jam session!,Murph,"Bring your own instrument (BYOI) encouraged! Or, you can use some of ours!",9/1,20:00,21:00
pikans on the Radio!,Depart from pika / WMBR Station,Come explore the wide world of college radio with your favorite cuddly pikans! Learn how to use a mixing board or just hear your voice/music on the air. Leave from pika at 9pm or meet us at WMBR in E50 at 9:45pm!,9/1,21:00,23:00
Cool parks & free samples walk,Depart from pika / Cambridgeport,Cambridge has some cool parks and some places to find free food.,9/2,12:00,14:00
Make ice cream,Kitchen,We have an ice cream maker. You love ice cream. This is the beginning of a beautiful friendship.,9/2,15:00,16:00
Bzzz! Spelling Bee: a tribute to what was Bexley,Dining room,"It's a spelling bee. May include a tour of our real-life honeybee hive and a tasting of their honeycomb! Don't worry, they're friendly.",9/2,16:00,17:00
Hair Dyeing & Hair Cutting,Dining room,Modify one or more hairs on your head.,9/2,17:00,19:00
Chicken care & chicken cuddling,Back yard,pika is home to a flock of lovable hens. Come meet them and cuddle a real live chicken.,9/2,18:00,19:00
Ristorante d'Italia Feast,Dining room,Dinner! Come for a multi-course extravaganza of Italian food.,9/2,19:00,20:00
Learn to spin,Back yard,"Come learn how to spin a firestaff, poi, ropedart, etc. like a pro! Three-beat weaves, conveyers, butterflies... No props required.",9/2,20:00,23:00
,,,,,
Roll your own sushi!,Dining room,Roll your own (sushi)!,9/3,17:00,19:00
Sushi Dinner,Dining room,Eat your own (sushi)!,9/3,19:00,20:00
Tea Blending & Consumption Party,Dining room,"Blend teas with pika's wonderful collection of herbs! Then, drink them right there on the spot. ",9/3,20:00,23:00
Absurdist parlor games,Murph,Spin the cinderblock and other classics.,9/3,20:00,21:00
Poetry slam,Murph,"Bring your favorite poetry books or your own poetry, or read some of ours!",9/3,21:00,23:00
Trick or treat at pika,pika,"Meet the friendly residents of pika, see what our unique rooms look like, and get hippie candy when you knock on each door! Scary costumes provided.",9/4,17:00,19:00
Costume and Drag Dinner!,Dining room,Get dressed up in our Outrageous Clothing. Get your makeup done. You shall look Fabulous.,9/4,19:00,20:00
Let's have a kiki!,Murph,"pika is The Gay Agenda. This is the Big Rainbow Event: talk about gay stuff, politics, philosophy, and gossip.",9/4,20:00,23:00
Next to Godliness: Soap making,Dining room,Make eco-friendly all-purpose cleaner for you and your home! Do you like soap? Then this is the event for you!,9/5,17:00,19:00
Fancy Friday Feast,Dining room,We have extra-special dinners on Fridays. Come share our table with us. Celebrate the end of the first week of school.,9/5,19:00,20:00
Spa night!!!,Dining room,Relax from the rigors of school and refresh yourself with our homeopathic remedies and beauty treatments. Feel the power of coconut oil on your scalp and avocadoes on the smooth skin of your face. Relaaax!,9/5,20:00,23:00
